label,config,routing,requests,seed,n_finished,mean_ttft_s,p99_ttft_s,mean_tpot_s,p99_tpot_s,mean_e2e_s,slo_attainment,total_energy_kwh,joules_per_token,wall_ms
tp4x2-ROUND_ROBIN-r20-s60,tp4x2,ROUND_ROBIN,3000,60,3000,62.0645,135.6209,0.028383,0.043310,73.8701,0.0943,0.023545,0.0964,461
tp4x2-ROUND_ROBIN-r20-s61,tp4x2,ROUND_ROBIN,3000,61,3000,65.9820,144.5209,0.029143,0.045700,78.2393,0.0903,0.024282,0.0988,439
tp4x2-ROUND_ROBIN-r30-s42,tp4x2,ROUND_ROBIN,4500,42,4500,249.2061,477.5337,0.046390,0.064629,266.9797,0.0442,0.021611,0.0571,795
tp4x2-ROUND_ROBIN-r30-s45,tp4x2,ROUND_ROBIN,4500,45,4500,244.4224,473.5053,0.046412,0.064629,261.9842,0.0476,0.021491,0.0577,789
tp4x2-ROUND_ROBIN-r30-s44,tp4x2,ROUND_ROBIN,4500,44,4500,243.6359,464.6925,0.046391,0.064629,260.9628,0.0447,0.020934,0.0566,786
tp4x2-ROUND_ROBIN-r30-s43,tp4x2,ROUND_ROBIN,4500,43,4500,239.4660,454.8102,0.045402,0.064629,256.6672,0.0411,0.021008,0.0562,809
tp4x2-ROUND_ROBIN-r30-s47,tp4x2,ROUND_ROBIN,4500,47,4500,238.6958,454.7363,0.045652,0.064629,255.9465,0.0427,0.021107,0.0565,775
tp4x2-ROUND_ROBIN-r30-s48,tp4x2,ROUND_ROBIN,4500,48,4500,238.5384,457.7872,0.045547,0.064629,255.8011,0.0396,0.021236,0.0571,771
tp4x2-ROUND_ROBIN-r30-s46,tp4x2,ROUND_ROBIN,4500,46,4500,234.2155,451.7729,0.045524,0.064629,251.3471,0.0416,0.021141,0.0572,778
tp4x2-ROUND_ROBIN-r30-s49,tp4x2,ROUND_ROBIN,4500,49,4500,246.3550,469.2706,0.045881,0.064628,263.9064,0.0440,0.021303,0.0565,781
tp4x2-ROUND_ROBIN-r30-s52,tp4x2,ROUND_ROBIN,4500,52,4500,243.9068,466.3782,0.046200,0.064629,261.4277,0.0424,0.021486,0.0571,791
tp4x2-ROUND_ROBIN-r30-s50,tp4x2,ROUND_ROBIN,4500,50,4500,242.0815,480.0307,0.046459,0.064629,259.5187,0.0427,0.021780,0.0590,811
tp4x2-ROUND_ROBIN-r30-s53,tp4x2,ROUND_ROBIN,4500,53,4500,237.6332,450.9632,0.045531,0.064629,254.7527,0.0407,0.020813,0.0563,804
tp4x2-ROUND_ROBIN-r30-s51,tp4x2,ROUND_ROBIN,4500,51,4500,246.7292,493.2464,0.046196,0.064629,264.4694,0.0438,0.022189,0.0585,849
tp4x2-ROUND_ROBIN-r30-s54,tp4x2,ROUND_ROBIN,4500,54,4500,239.1679,454.2596,0.045804,0.064629,256.3333,0.0416,0.020818,0.0563,777
tp4x2-ROUND_ROBIN-r30-s55,tp4x2,ROUND_ROBIN,4500,55,4500,240.5154,462.9692,0.046212,0.064629,257.8593,0.0413,0.021242,0.0572,766
tp4x2-ROUND_ROBIN-r30-s56,tp4x2,ROUND_ROBIN,4500,56,4500,225.7303,442.8938,0.045353,0.064628,242.7248,0.0422,0.021597,0.0588,761
tp4x2-ROUND_ROBIN-r30-s57,tp4x2,ROUND_ROBIN,4500,57,4500,241.0836,458.8665,0.045776,0.064629,258.4343,0.0424,0.021078,0.0561,780
tp4x2-ROUND_ROBIN-r30-s60,tp4x2,ROUND_ROBIN,4500,60,4500,233.3310,451.9956,0.045700,0.064629,250.4101,0.0429,0.021157,0.0573,754
tp4x2-ROUND_ROBIN-r30-s58,tp4x2,ROUND_ROBIN,4500,58,4500,241.6658,469.1168,0.046224,0.064629,259.0820,0.0384,0.021525,0.0576,748
tp4x2-ROUND_ROBIN-r30-s59,tp4x2,ROUND_ROBIN,4500,59,4500,234.5990,458.0144,0.045549,0.064628,251.7509,0.0411,0.021333,0.0572,799
tp4x2-ROUND_ROBIN-r30-s61,tp4x2,ROUND_ROBIN,4500,61,4500,240.4397,474.2636,0.046529,0.064629,257.9662,0.0440,0.022037,0.0595,770
tp4x2-ROUND_ROBIN-r40-s42,tp4x2,ROUND_ROBIN,6000,42,6000,407.2831,767.9437,0.052282,0.064629,426.8308,0.0303,0.021630,0.0429,1161
tp4x2-ROUND_ROBIN-r40-s44,tp4x2,ROUND_ROBIN,6000,44,6000,397.3443,741.1613,0.052102,0.064629,416.3285,0.0278,0.020792,0.0423,1157
tp4x2-ROUND_ROBIN-r40-s43,tp4x2,ROUND_ROBIN,6000,43,6000,398.3646,750.6085,0.052036,0.064629,417.5318,0.0260,0.021353,0.0430,1209
tp4x2-ROUND_ROBIN-r40-s45,tp4x2,ROUND_ROBIN,6000,45,6000,400.7479,755.5932,0.052159,0.064629,420.0097,0.0322,0.021321,0.0430,1183
tp4x2-ROUND_ROBIN-r40-s46,tp4x2,ROUND_ROBIN,6000,46,6000,393.7344,750.8837,0.052072,0.064629,412.9049,0.0253,0.021510,0.0433,1129
tp4x2-ROUND_ROBIN-r40-s47,tp4x2,ROUND_ROBIN,6000,47,6000,398.2817,751.5820,0.052161,0.064629,417.5196,0.0270,0.021301,0.0427,1119
tp4x2-ROUND_ROBIN-r40-s48,tp4x2,ROUND_ROBIN,6000,48,6000,396.3953,749.8195,0.051975,0.064629,415.5231,0.0262,0.021296,0.0430,1150
tp4x2-ROUND_ROBIN-r40-s49,tp4x2,ROUND_ROBIN,6000,49,6000,405.8713,772.4440,0.052391,0.064629,425.3324,0.0280,0.021766,0.0435,1146
tp4x2-ROUND_ROBIN-r40-s51,tp4x2,ROUND_ROBIN,6000,51,6000,403.6777,756.7549,0.051763,0.064629,422.9397,0.0298,0.021265,0.0426,1124
